NewsID,informativeness_score
N56558,0.9074
N42524,0.9224
N43138,0.9621
N41257,0.9825
N7403,0.8676
N61727,0.9462
N19103,0.9787
N39843,0.9306
N48320,0.9338
N40684,0.9571
N22256,0.8784
N25041,0.92
N8182,0.8914
N60933,0.9783
N2955,0.9387
N3870,0.8643
N29893,0.8769
N63734,0.9607
N52528,0.9858
N59449,0.8648
N12188,0.9013
N18753,0.8522
N45174,0.9026
N34240,0.8637
N4303,0.8739
N34233,0.9551
N543,0.9054
N29745,0.9654
N42994,0.9363
N57131,0.885
N28535,0.9014
N44238,0.9276
N62150,0.9306
N12612,0.3118
N59291,0.8016
N32227,0.9089
N34645,0.9406
N51027,0.9117
N24866,0.9482
N19552,0.8227
N18760,0.9627
N18819,0.9458
N13225,0.9563
N24427,0.8519
N60739,0.9323
N24132,0.9631
N52800,0.9361
N49981,0.3739
N7748,0.9101
N46662,0.8743
N39718,0.868
N58637,0.8607
N7368,0.9276
N54624,0.9513
N62418,0.8794
N29621,0.9619
N61483,0.983
N4295,0.8909
N20148,0.8179
N64278,0.9615
N43092,0.9084
N7180,0.8543
N58210,0.8455
N20588,0.9119
N59137,0.9028
N41212,0.9083
N40642,0.9714
N58730,0.9654
N64130,0.9447
N21526,0.9754
N54783,0.8994
N36390,0.9687
N44573,0.9291
N13693,0.9324
N10398,0.9052
N25127,0.9474
N13712,0.9829
N52293,0.8735
N43677,0.8998
N43465,0.8339
N30194,0.9353
N27667,0.8907
N3270,0.9976
N53353,0.9129
N36457,0.9187
N8610,0.9885
N35585,0.9165
N30965,0.8138
N59437,0.9333
N1606,0.9856
N4570,0.9536
N37987,0.9206
N54012,0.9425
N44438,0.9229
N40813,0.884
N47357,0.9552
N9138,0.9269
N4978,0.9402
N2770,0.979
N3906,0.8971
N29824,0.9572
N14720,0.7732
N21453,0.9026
N2336,0.8397
N34300,0.9507
N32180,0.8823
N51363,0.9578
N1145,0.9786
N34544,0.4868
N52876,0.9582
N44940,0.9113
N57751,0.9241
N26634,0.8883
N19818,0.8409
N32202,0.9648
N5551,0.9202
N35993,0.8925
N36357,0.8309
N24959,0.966
N29740,0.9728
N62357,0.8471
N45102,0.9779
N38064,0.9319
N49210,0.9546
N49345,0.9686
N31851,0.9506
N47341,0.9556
N36630,0.9358
N55663,0.7598
N53095,0.8931
N30886,0.8688
N47699,0.9301
N31637,0.9698
N30816,0.9491
N44067,0.9869
N18908,0.9386
N64215,0.8879
N56359,0.9436
N39032,0.9545
N38336,0.9557
N21744,0.9769
N6288,0.9267
N18929,0.8891
N46858,0.9687
N53570,0.8436
N49907,0.9016
N33853,0.9909
N46454,0.7991
N30766,0.9254
N30891,0.9383
N48304,0.875
N46397,0.9127
N4681,0.9087
N41648,0.9839
N23198,0.9495
N1398,0.8579
N62982,0.9312
N28406,0.965
N29569,0.8761
N24416,0.9275
N62092,0.9663
N45715,0.939
N21185,0.793
N14028,0.9135
N28552,0.9869
N13843,0.8443
N25873,0.9349
N16521,0.7678
N16029,0.8274
N61456,0.9273
N32593,0.8484
N27013,0.8674
N8753,0.948
N34930,0.9029
N11348,0.9283
N19312,0.9292
N14641,0.8297
N5003,0.8957
N2193,0.9842
N15976,0.9128
N11350,0.96
N21491,0.9807
N44436,0.7976
N14505,0.9808
N37766,0.9394
N46950,0.836
N17423,0.9514
N18936,0.9565
N7234,0.8969
N28111,0.9708
N1459,0.9087
N31444,0.9751
N60392,0.9293
N63577,0.9537
N41860,0.9509
N7941,0.8842
N26632,0.8686
N16384,0.8582
N4972,0.923
N54786,0.862
N4209,0.976
N57899,0.9588
N8370,0.9129
N51077,0.9194
N7645,0.8611
N41357,0.9149
N17621,0.9366
N19495,0.9578
N26584,0.9572
N61119,0.8716
N33570,0.9394
N21112,0.8048
N57552,0.9366
N476,0.8605
N10935,0.7946
N53879,0.8886
N22505,0.8961
N23088,0.9001
N48422,0.9883
N5249,0.9422
N4435,0.9493
N62427,0.8441
N7004,0.9195
N10280,0.9196
N5195,0.9743
N40032,0.9229
N45225,0.9578
N34048,0.5713
N18005,0.9698
N46596,0.9522
N35791,0.9416
N14335,0.8919
N54843,0.9514
N57119,0.9618
N34322,0.9074
N7895,0.9326
N8263,0.9114
N32502,0.9362
N10270,0.913
N5978,0.9099
N42660,0.9539
N21136,0.8762
N15424,0.949
N33800,0.9184
N91,0.9222
N62758,0.7712
N38014,0.9204
N26401,0.8815
N62582,0.937
N11258,0.9491
N37756,0.9743
N29960,0.9241
N15416,0.9493
N520,0.9499
N9648,0.952
N27503,0.9233
N61433,0.9158
N17055,0.726
N55526,0.5841
N3908,0.8522
N32247,0.7701
N38528,0.8522
N27289,0.8838
N44396,0.8887
N3325,0.6689
N19297,0.8054
N52508,0.9298
N60065,0.8578
N217,0.9407
N14639,0.9727
N2329,0.8638
N58304,0.9317
N37026,0.787
N48701,0.892
N33764,0.8386
N6058,0.9725
N50652,0.8355
N50985,0.9052
N54726,0.868
N38035,0.9703
N25518,0.9865
N61157,0.9629
N8571,0.8875
N28287,0.8792
N17188,0.8966
N46534,0.8964
N31254,0.9021
N48194,0.9423
N12737,0.8584
N51949,0.8596
N6357,0.8176
N20725,0.9954
N14418,0.7907
N21002,0.8051
N20244,0.9762
N43035,0.9339
N48044,0.9246
N11367,0.9561
N40974,0.9272
N60825,0.9531
N33071,0.8266
N55231,0.907
N39529,0.848
N38975,0.8753
N25519,0.8996
N33584,0.9049
N389,0.949
N18516,0.9358
N53286,0.9434
N8041,0.9759
N47005,0.9396
N57265,0.9305
N44681,0.9493
N48330,0.948
N7607,0.8925
N56616,0.9183
N21486,0.8544
N7128,0.8646
N13535,0.9558
N27132,0.9597
N58547,0.9731
N7412,0.8973
N37694,0.7105
N35102,0.9
N39624,0.8617
N12452,0.9473
N19894,0.9917
N46288,0.9878
N20862,0.9058
N4499,0.8709
N44228,0.8138
N29278,0.6553
N49149,0.9547
N32844,0.8891
N440,0.9281
N13194,0.9392
N3623,0.8337
N32072,0.8646
N15905,0.8398
N26479,0.9688
N27077,0.9043
N21746,0.8484
N1876,0.9233
N59726,0.9751
N29702,0.8981
N46771,0.9306
N35783,0.8521
N45165,0.8561
N30717,0.9616
N23743,0.933
N32547,0.9497
N10553,0.6554
N50891,0.8473
N50788,0.9607
N59686,0.938
N2448,0.9382
N22006,0.9558
N28754,0.9556
N3465,0.9829
N24763,0.9023
N44113,0.9473
N27877,0.8824
N92,0.8898
N1644,0.9894
N1843,0.8961
N34777,0.9661
N20303,0.9318
N51280,0.9485
N14476,0.8926
N13833,0.9192
N27958,0.9193
N51173,0.8927
N56789,0.9594
N964,0.8602
N20600,0.8919
N54434,0.8804
N33667,0.9418
N15725,0.9657
N35527,0.9279
N17888,0.852
N704,0.8754
N24137,0.885
N6351,0.9416
N16480,0.9398
N20931,0.8607
N55779,0.9428
N48000,0.9489
N40070,0.9469
N4742,0.8995
N45606,0.9584
N56115,0.8209
N31430,0.8612
N16844,0.9222
N20711,0.913
N2449,0.9064
N42916,0.966
N54540,0.9784
N33408,0.9715
N40802,0.9806
N53451,0.8969
N35907,0.915
N3912,0.8464
N42527,0.9446
N33207,0.9421
N8767,0.9388
N50010,0.9323
N38446,0.9037
N6163,0.7904
N11592,0.9726
N16873,0.8938
N60669,0.8817
N44178,0.8876
N46502,0.8863
N10013,0.7444
N14629,0.8947
N37472,0.9022
N9220,0.9899
N34476,0.9383
N20312,0.8693
N7212,0.7173
N18062,0.8896
N31931,0.9317
N9615,0.9601
N35827,0.9378
N59440,0.9286
N47186,0.9081
N46131,0.9482
N40724,0.6218
N9868,0.8481
N30417,0.9033
N24024,0.8789
N33604,0.8465
N8500,0.5661
N27608,0.8877
N13061,0.8119
N18977,0.9413
N4145,0.8923
N25300,0.966
N59872,0.8687
N162,0.9227
N9106,0.9548
N14341,0.9577
N11723,0.9702
N4032,0.7645
N14442,0.7253
N47326,0.5269
N60604,0.8798
N28119,0.9767
N31224,0.8186
N57140,0.9017
N27395,0.7256
N5873,0.9571
N1761,0.841
N42421,0.9426
N60724,0.9359
N25156,0.9414
N20393,0.9109
N54298,0.974
N28323,0.8914
N25180,0.9023
N4643,0.8838
N40628,0.9576
N62539,0.9478
N59011,0.9706
N23984,0.9624
N4236,0.9458
N60489,0.9253
N14017,0.886
N43462,0.9189
N51204,0.966
N54907,0.9288
N34721,0.8806
N12100,0.5718
N19220,0.8076
N13746,0.8715
N64403,0.8948
N37983,0.92
N45955,0.9273
N49821,0.842
N31585,0.9513
N7503,0.8838
N41882,0.5504
N35000,0.9532
N53688,0.8995
N46816,0.9459
N39417,0.9515
N47868,0.8963
N45354,0.921
N14358,0.8572
N41643,0.9529
N122,0.8931
N45847,0.8813
N29695,0.9154
N50048,0.8488
N13292,0.9355
N52221,0.8877
N54405,0.8526
N40490,0.9452
N48120,0.9203
N50187,0.9671
N10839,0.943
N19931,0.9619
N51409,0.9346
N50304,0.8398
N16495,0.8778
N17771,0.7548
N8928,0.8805
N53224,0.8986
N52018,0.9622
N40091,0.9096
N36682,0.9534
N44047,0.9131
N30179,0.8751
N2472,0.8933
N13104,0.8394
N39932,0.1692
N4730,0.8942
N24343,0.9912
N54822,0.989
N28861,0.9765
N40447,0.8871
N44321,0.9636
N62372,0.9418
N36300,0.9487
N8763,0.9564
N52941,0.9174
N51736,0.8336
N49185,0.93
N13861,0.9567
N17009,0.8551
N2164,0.9384
N18648,0.8975
N51238,0.978
N39055,0.8848
N10711,0.9701
N63049,0.8972
N21595,0.9295
N9432,0.9327
N23833,0.9746
N63103,0.9423
N58932,0.8481
N28392,0.8704
N48563,0.8248
N34473,0.932
N58090,0.9018
N13360,0.7925
N25195,0.8052
N41998,0.8995
N59727,0.9543
N36539,0.8463
N11678,0.9191
N2970,0.9606
N46133,0.819
N26029,0.9842
N58030,0.9238
N44061,0.9736
N13560,0.7298
N60963,0.9358
N47487,0.9703
N34536,0.8962
N38114,0.8082
N50333,0.8616
N20248,0.9478
N8396,0.9456
N51651,0.9503
N22133,0.9226
N42590,0.9505
N15515,0.9279
N12599,0.9114
N45359,0.9433
N34760,0.102
N16103,0.9308
N64977,0.832
N51595,0.9066
N30612,0.8595
N24064,0.8792
N4613,0.8649
N19615,0.9388
N57164,0.9039
N64751,0.9027
N26394,0.9437
N52474,0.818
N62008,0.8751
N14219,0.8017
N56979,0.9298
N43674,0.8932
N13705,0.9838
N40606,0.9085
N29287,0.9482
N21476,0.933
N41093,0.7265
N33415,0.7812
N42317,0.9149
N39276,0.8881
N33781,0.9516
N32146,0.9144
N8892,0.9266
N38113,0.8612
N27984,0.7996
N44796,0.8852
N55678,0.8485
N45440,0.9607
N13933,0.9026
N36081,0.9198
N28823,0.8758
N16898,0.8544
N14421,0.9812
N49914,0.9567
N8061,0.9347
N32637,0.9252
N64763,0.9797
N45876,0.9217
N41764,0.8872
N61248,0.9714
N16605,0.9764
N37537,0.8922
N25400,0.8735
N47121,0.8327
N28301,0.8964
N53734,0.9557
N16817,0.8997
N13372,0.9587
N23503,0.95
N59740,0.8656
N49591,0.9075
N21737,0.888
N16248,0.9486
N35667,0.9724
N49425,0.9611
N60661,0.8444
N24567,0.9088
N46231,0.9872
N8269,0.9051
N18390,0.9246
N54848,0.9643
N16763,0.8847
N45145,0.8515
N59637,0.862
N21298,0.9849
N40931,0.8844
N21611,0.9833
N58928,0.9345
N10792,0.8853
N863,0.9199
N55440,0.9155
N12426,0.8749
N52935,0.9349
N21275,0.9381
N25813,0.8883
N42901,0.9167
N36663,0.953
N46122,0.7458
N14732,0.9775
N7829,0.9654
N23288,0.9039
N31623,0.7722
N45078,0.8359
N59085,0.9602
N40112,0.9638
N60303,0.8696
N20911,0.9243
N9885,0.9404
N22995,0.8928
N43005,0.9176
N18299,0.8716
N7054,0.9468
N54950,0.9816
N23619,0.8459
N29416,0.894
N22683,0.9341
N17518,0.9275
N31405,0.9715
N57257,0.9887
N28760,0.8949
N46994,0.876
N22193,0.9656
N20681,0.904
N33277,0.9182
N53006,0.9625
N41291,0.7409
N63317,0.7999
N49238,0.9297
N16087,0.909
N33428,0.9392
N9717,0.9853
N12664,0.9534
N39596,0.8175
N16583,0.9098
N8624,0.9446
N31761,0.8569
N52309,0.9116
N41814,0.918
N2025,0.9183
N32755,0.9729
N60810,0.8762
N20809,0.9735
N57336,0.9359
N4245,0.9371
N22502,0.849
N4505,0.8792
N54996,0.9267
N39497,0.9711
N17246,0.9641
N62188,0.9499
N16260,0.9376
N5850,0.8973
N27341,0.9362
N48071,0.9681
N28198,0.9516
N21301,0.8416
N14038,0.9284
N65132,0.905
N4306,0.9863
N60307,0.9448
N44071,0.9535
N13974,0.5968
N51215,0.8452
N9732,0.9508
N13679,0.9308
N49305,0.9221
N27880,0.8716
N62620,0.9074
N10652,0.9342
N38541,0.8383
N21978,0.9342
N32735,0.9254
N20635,0.9156
N5717,0.8683
N41343,0.8716
N21615,0.9397
N38747,0.9332
N4995,0.9904
N51129,0.9206
N64342,0.8787
N19254,0.9401
N7251,0.9556
N21850,0.7554
N55821,0.8396
N20391,0.9815
N52135,0.8971
N57488,0.7794
N28480,0.8155
N30951,0.9018
N15873,0.9683
N30134,0.9412
N13414,0.8098
N32157,0.9841
N15560,0.9125
N4783,0.9256
N51903,0.9286
N2834,0.9668
N47729,0.8803
N29673,0.9011
N10868,0.9769
N15913,0.9184
N37550,0.9367
N28000,0.6633
N21399,0.8862
N47126,0.8943
N53751,0.8826
N37912,0.8905
N34718,0.9154
N8906,0.8763
N41526,0.9047
N60615,0.9439
N15663,0.9172
N54146,0.8876
N63068,0.9584
N1334,0.9263
N63636,0.8465
N33381,0.8956
N19843,0.9235
N32471,0.9394
N60781,0.9075
N16459,0.9559
N27194,0.9174
N21129,0.894
N64496,0.9633
N43676,0.974
N8046,0.9641
N48785,0.9104
N31551,0.88
N56932,0.9165
N12926,0.9083
N47189,0.9134
N39246,0.9602
N15953,0.9821
N13180,0.9196
N37749,0.9722
N40234,0.8958
N36614,0.9736
N51146,0.9475
N966,0.9773
N16404,0.9116
N9007,0.9401
N32229,0.9706
N28862,0.9508
N24566,0.9215
N29683,0.9676
N64365,0.8706
N10904,0.9638
N48349,0.9519
N61918,0.9301
N49276,0.9485
N50497,0.9378
N7931,0.852
N22206,0.9598
N2733,0.8178
N52189,0.6959
N22569,0.9515
N2968,0.7145
N55351,0.8179
N31065,0.8611
N31841,0.7897
N62761,0.9168
N59078,0.9527
N58391,0.9808
N14630,0.8801
N28645,0.9566
N63518,0.834
N52729,0.8666
N9006,0.983
N36287,0.9295
N62920,0.9355
N2427,0.9097
N40216,0.9763
N59237,0.8357
N64667,0.9039
N45746,0.9371
N48877,0.9648
N59616,0.8833
N31779,0.8826
N4971,0.934
N46987,0.8558
N37521,0.8668
N64279,0.8976
N35114,0.9111
N60696,0.9314
N3176,0.868
N46891,0.928
N43265,0.9732
N28674,0.8754
N43986,0.7271
N30692,0.9758
N64276,0.8516
N19970,0.8141
N31714,0.8575
N1816,0.9355
N461,0.963
N22826,0.9307
N43533,0.931
N4593,0.9333
N47429,0.8643
N60026,0.933
N25245,0.9487
N63624,0.9031
N30872,0.9194
N36222,0.9584
N54936,0.7893
N3547,0.9164
N14587,0.8792
N24305,0.9585
N42445,0.7746
N18790,0.9287
N20823,0.8975
N28465,0.8904
N32867,0.937
N23643,0.9132
N3527,0.8586
N40942,0.9604
N25070,0.9398
N15911,0.9809
N57128,0.86
N17987,0.8912
N23188,0.9245
N7643,0.9737
N40453,0.9293
N25134,0.9631
N19913,0.8313
N48816,0.9322
N24262,0.9073
N62789,0.8523
N44209,0.956
N4342,0.9587
N16516,0.8422
N21390,0.7892
N32299,0.9862
N56125,0.9843
N4748,0.971
N17772,0.8141
N18779,0.956
N41939,0.9422
N63497,0.8999
N60412,0.9438
N43821,0.8956
N42053,0.9553
N18456,0.9377
N13443,0.9404
N24187,0.9484
N23453,0.928
N1202,0.9506
N21208,0.8981
N34984,0.9576
N8575,0.9777
N51688,0.9602
N8686,0.878
N60962,0.9296
N34087,0.9504
N15981,0.9567
N35778,0.9348
N25839,0.7137
N32085,0.8914
N27142,0.9102
N4623,0.9665
N9826,0.8161
N410,0.9808
N50685,0.9458
N38956,0.2593
N276,0.9839
N16795,0.8266
N21584,0.945
N60875,0.9532
N24036,0.975
N41517,0.9329
N5173,0.8546
N3962,0.9323
N59757,0.9818
N59010,0.8996
N43558,0.9155
N17507,0.8753
N8439,0.9815
N48438,0.9223
N26158,0.8646
N44163,0.9332
N30659,0.9618
N43044,0.9603
N31926,0.9042
N59017,0.9588
N16504,0.9866
N41373,0.7953
N37448,0.9366
N37035,0.8341
N50999,0.9541
N59649,0.9736
N20770,0.8874
N6089,0.9707
N6445,0.8689
N38736,0.9345
N47294,0.9472
N5163,0.9341
N48865,0.8132
N62564,0.9632
N56416,0.9277
N36571,0.9315
N43091,0.8199
N60171,0.8874
N30786,0.9516
N21849,0.8735
N2290,0.9654
N4181,0.9619
N59982,0.8229
N40145,0.92
N40244,0.8674
N51869,0.9087
N14439,0.8194
N17053,0.9333
N58452,0.8713
N22652,0.8592
N29717,0.8321
N52413,0.9383
N8179,0.9799
N58157,0.8788
N44070,0.7934
N4324,0.9159
N60270,0.8972
N55422,0.9764
N41051,0.9356
N19083,0.9299
N46148,0.8866
N40357,0.8892
N14429,0.918
N50600,0.9498
N6152,0.8667
N668,0.8915
N59677,0.719
N59332,0.9612
N34417,0.9634
N38618,0.9471
N47071,0.914
N62693,0.8612
N16730,0.9375
N14278,0.9255
N22001,0.7884
N35984,0.9607
N2543,0.9421
N59822,0.9673
N7545,0.8959
N14486,0.9142
N7278,0.888
N51402,0.7995
N47941,0.9107
N15069,0.8996
N10530,0.8902
N40396,0.9621
N62176,0.9146
N55240,0.9491
N12507,0.9537
N42050,0.9369
N58608,0.8423
N31163,0.8879
N16880,0.9064
N62655,0.8915
N56453,0.8707
N34945,0.8844
N64284,0.9552
N36356,0.9902
N19557,0.8986
N12430,0.9353
N56363,0.9528
N57649,0.8759
N8171,0.9234
N16261,0.9715
N9748,0.9479
N4596,0.919
N53185,0.8809
N12979,0.9121
N10421,0.8521
N41809,0.9979
N57072,0.8523
N3163,0.9487
N39971,0.9564
N45495,0.9027
N4698,0.9619
N17119,0.9717
N48205,0.752
N995,0.9198
N37096,0.9405
N45564,0.8156
N38591,0.9222
N51707,0.9756
N32539,0.9154
N22876,0.9478
N58997,0.9415
N64912,0.8863
N20115,0.9697
N9175,0.9639
N43960,0.9778
N35604,0.8425
N40419,0.9349
N24169,0.936
N42281,0.9418
N49972,0.8458
N9029,0.8976
N48229,0.7598
N64032,0.9591
N40493,0.9326
N12246,0.9214
N16358,0.7316
N22852,0.6834
N29584,0.8956
N4542,0.8604
N55809,0.8695
N8140,0.91
N7418,0.8671
N15212,0.9279
N24082,0.9264
N11665,0.951
N22161,0.9004
N37822,0.8799
N36529,0.8889
N51289,0.9397
N21601,0.9186
N30237,0.973
N54149,0.9046
N19315,0.9209
N20053,0.8935
N2087,0.8491
N40287,0.9178
N35449,0.9084
N18433,0.9279
N24966,0.8577
N3109,0.9377
N57905,0.9582
N31138,0.7962
N49966,0.8813
N23298,0.8322
N36993,0.8956
N31653,0.893
N16661,0.8825
N21277,0.8314
N3970,0.9595
N37856,0.909
N25168,0.9118
N62190,0.9837
N32059,0.7563
N48433,0.8253
N4283,0.8773
N57812,0.9154
N55940,0.9803
N51641,0.9576
N42720,0.9242
N64562,0.8879
N28964,0.9072
N22557,0.9733
N60169,0.895
N14061,0.8225
N9484,0.7832
N45846,0.8328
N58685,0.9726
N53220,0.9253
N38911,0.9693
N35098,0.9186
N17344,0.9675
N1466,0.8399
N1863,0.9441
N33059,0.9185
N55808,0.9786
N27459,0.8836
N33950,0.8865
N6145,0.8995
N61226,0.9197
N5972,0.9561
N48318,0.9329
N31744,0.875
N14337,0.9818
N14920,0.8867
N54247,0.9361
N65223,0.9159
N1798,0.9357
N52894,0.9147
N18566,0.9412
N48294,0.9315
N29413,0.8744
N10640,0.9415
N24436,0.9125
N54225,0.9102
N33173,0.9891
N28313,0.9448
N57470,0.9121
N8567,0.8213
N54663,0.9032
N56044,0.9347
N2867,0.983
N4239,0.9347
N30402,0.9046
N21157,0.8411
N28128,0.9422
N58445,0.8654
N7151,0.8247
N15343,0.9422
N22272,0.8764
N22323,0.9001
N37927,0.948
N20147,0.4767
N984,0.9661
N36603,0.9475
N61001,0.9094
N31743,0.9819
N5886,0.8981
N61030,0.9193
N34739,0.9658
N58873,0.8973
N64133,0.9635
N40637,0.8587
N23561,0.9634
N31663,0.9421
N45288,0.801
N63015,0.9272
N57092,0.7599
N30924,0.9776
